2023-12-03 01:38:40 status unpacked zlib1g:amd64 1:1.2.13.dfsg-1
2023-12-03 01:38:40 startup packages configure
2023-12-03 01:38:40 configure libtext-glob-perl:all 0.11-3 <none>
2023-12-03 01:38:40 status unpacked libtext-glob-perl:all 0.11-3
2023-12-03 01:38:40 status half-configured libtext-glob-perl:all 0.11-3
2023-12-03 01:38:40 status installed libtext-glob-perl:all 0.11-3
2023-12-03 01:38:40 configure debian-archive-keyring:all 2023.3+deb12u1 <none>
2023-12-03 01:38:40 status unpacked debian-archive-keyring:all 2023.3+deb12u1
2023-12-03 01:38:40 status half-configured debian-archive-keyring:all 2023.3+deb12u1
2023-12-03 01:38:41 status installed debian-archive-keyring:all 2023.3+deb12u1
2023-12-03 01:38:41 configure libaudit-common:all 1:3.0.9-1 <none>
2023-12-03 01:38:41 status unpacked libaudit-common:all 1:3.0.9-1
2023-12-03 01:38:41 status half-configured libaudit-common:all 1:3.0.9-1
2023-12-03 01:38:41 status installed libaudit-common:all 1:3.0.9-1
2023-12-03 01:38:41 configure libsemanage-common:all 3.4-1 <none>
2023-12-03 01:38:41 status unpacked libsemanage-common:all 3.4-1
2023-12-03 01:38:41 status half-configured libsemanage-common:all 3.4-1
2023-12-03 01:38:41 status installed libsemanage-common:all 3.4-1
2023-12-03 01:38:41 configure debconf:all 1.5.82 <none>
2023-12-03 01:38:41 status unpacked debconf:all 1.5.82
2023-12-03 01:38:41 status half-configured debconf:all 1.5.82
2023-12-03 01:38:41 status installed debconf:all 1.5.82
2023-12-03 01:38:41 configure libnumber-compare-perl:all 0.03-3 <none>
2023-12-03 01:38:41 status unpacked libnumber-compare-perl:all 0.03-3
2023-12-03 01:38:41 status half-configured libnumber-compare-perl:all 0.03-3
2023-12-03 01:38:41 status installed libnumber-compare-perl:all 0.03-3
2023-12-03 01:38:41 configure gcc-12-base:amd64 12.2.0-14 <none>
2023-12-03 01:38:41 status unpacked gcc-12-base:amd64 12.2.0-14
2023-12-03 01:38:41 status half-configured gcc-12-base:amd64 12.2.0-14
2023-12-03 01:38:41 status installed gcc-12-base:amd64 12.2.0-14
2023-12-03 01:38:41 configure tzdata:all 2023c-5 <none>
